0.0010000000	0.0046987534
0.0020000001	0.0166311301
0.0030000000	0.0395831130
0.0040000002	0.0652788803
0.0049999999	0.1058564037
0.0060000001	0.1464340836
0.0070000002	0.2013178319
0.0080000004	0.2618469298
0.0089999996	0.3223775923
0.0099999998	0.3998766243
0.0109999999	0.4826596975
0.0120000001	0.5654428005
0.0130000003	0.6531087756
0.0140000004	0.7583703995
0.0149999997	0.8636304140
0.0160000008	0.9688920379
0.0170000009	1.0754623413
0.0179999992	1.2004975080
0.0189999994	1.3255326748
0.0199999996	1.4505678415
0.0209999997	1.5756030083
0.0219999999	1.7046024799
0.0230000000	1.8431925774
0.0240000002	1.9817826748
0.0250000004	2.1203727722
0.0260000005	2.2589788437
0.0270000007	2.3975689411
0.0280000009	2.5395817757
0.0289999992	2.6820726395
0.0299999993	2.8245792389
0.0309999995	2.9670698643
0.0320000015	3.1095607281
0.0329999998	3.2520670891
0.0340000018	3.3882055283
0.0350000001	3.5226721764
0.0359999985	3.6571388245
0.0370000005	3.7916054726
0.0379999988	3.9260878563
0.0390000008	4.0605545044
0.0399999991	4.1946549416
0.0410000011	4.3090133667
0.0419999994	4.4233880043
0.0430000015	4.5377473831
0.0439999998	4.6521220207
0.0450000018	4.7664966583
0.0460000001	4.8808550835
0.0469999984	4.9952297211
0.0480000004	5.0939540863
0.0489999987	5.1785888672
0.0500000007	5.2632236481
0.0509999990	5.3478741646
0.0520000011	5.4325089455
0.0529999994	5.5171437263
0.0540000014	5.6017780304
0.0549999997	5.6864128113
0.0560000017	5.7611613274
0.0570000000	5.8109769821
0.0579999983	5.8608088493
0.0590000004	5.9106249809
0.0599999987	5.9604406357
0.0610000007	6.0102729797
0.0619999990	6.0600891113
0.0630000010	6.1099209785
0.0640000030	6.1597371101
0.0649999976	6.2005891800
0.0659999996	6.2158737183
0.0670000017	6.2311573029
0.0680000037	6.2464408875
0.0689999983	6.2617411613
0.0700000003	6.2770247459
0.0710000023	6.2923088074
0.0719999969	6.3075928688
0.0729999989	6.3228764534
0.0740000010	6.3381605148
0.0750000030	6.3411378860
0.0759999976	6.3268408775
0.0769999996	6.3125438690
0.0780000016	6.2982473373
0.0790000036	6.2839503288
0.0799999982	6.2696537971
0.0810000002	6.2553567886
0.0820000023	6.2410602570
0.0829999968	6.2267632484
0.0839999989	6.2124662399
0.0850000009	6.1981692314
0.0860000029	6.1683502197
0.0869999975	6.1323690414
0.0879999995	6.0963721275
0.0890000015	6.0603756905
0.0900000036	6.0243787766
0.0909999982	5.9883813858
