0.503043E-04 0.536924E-07
0.265162E-03 0.149176E-05
0.652167E-03 0.902068E-05
0.121219E-02 0.311327E-04
0.194638E-02 0.800827E-04
0.285625E-02 0.171714E-03
0.394364E-02 0.324980E-03
0.521080E-02 0.560978E-03
0.666032E-02 0.901305E-03
0.829520E-02 0.136560E-02
0.101188E-01 0.196828E-02
0.121350E-01 0.271473E-02
0.143480E-01 0.359755E-02
0.167624E-01 0.459371E-02
0.193833E-01 0.566367E-02
0.222163E-01 0.675340E-02
0.252676E-01 0.779945E-02
0.285436E-01 0.873648E-02
0.320516E-01 0.950590E-02
0.357991E-01 0.100635E-01
0.397946E-01 0.103843E-01
0.440467E-01 0.104644E-01
0.485652E-01 0.103184E-01
0.533601E-01 0.997571E-02
0.584425E-01 0.947421E-02
0.638240E-01 0.885532E-02
0.695171E-01 0.815937E-02
0.755350E-01 0.742259E-02
0.818919E-01 0.667534E-02
0.886030E-01 0.594162E-02
0.956841E-01 0.523918E-02
0.103152E+00 0.458030E-02
0.111026E+00 0.397262E-02
0.119323E+00 0.342010E-02
0.128066E+00 0.292388E-02
0.137274E+00 0.248306E-02
0.146971E+00 0.209530E-02
0.157181E+00 0.175732E-02
0.167929E+00 0.146526E-02
0.179240E+00 0.121496E-02
0.191144E+00 0.100218E-02
0.203669E+00 0.822752E-03
0.216845E+00 0.672639E-03
0.230703E+00 0.548043E-03
0.245277E+00 0.445429E-03
0.260600E+00 0.361552E-03
0.276706E+00 0.293476E-03
0.293630E+00 0.238571E-03
0.311407E+00 0.194515E-03
0.330074E+00 0.159280E-03
0.349664E+00 0.131128E-03
0.370212E+00 0.108585E-03
0.391750E+00 0.904333E-04
0.414308E+00 0.756808E-04
0.437912E+00 0.635428E-04
0.462584E+00 0.534142E-04
0.488339E+00 0.448430E-04
0.515186E+00 0.375026E-04
0.543125E+00 0.311648E-04
0.572144E+00 0.256747E-04
0.602216E+00 0.209279E-04
0.633301E+00 0.168513E-04
0.665339E+00 0.133882E-04
0.698248E+00 0.104880E-04
0.731923E+00 0.809936E-05
0.766232E+00 0.616793E-05
0.801013E+00 0.463609E-05
0.836072E+00 0.344477E-05
0.871182E+00 0.253594E-05
0.906083E+00 0.185520E-05
0.940480E+00 0.135383E-05
0.974048E+00 0.989990E-06
0.100643E+01 0.729222E-06
0.103726E+01 0.544130E-06
0.106614E+01 0.413668E-06
0.109267E+01 0.322146E-06
0.111646E+01 0.258178E-06
0.113715E+01 0.213694E-06
0.115438E+01 0.183105E-06
0.116787E+01 0.162633E-06
0.117737E+01 0.149811E-06
0.118271E+01 0.143132E-06
0.120023E+01 0.123582E-06
0.126927E+01 0.728718E-07
0.139178E+01 0.350689E-07
0.156492E+01 0.158205E-07
0.178463E+01 0.559239E-08
0.204576E+01 0.139809E-08
0.234219E+01 0.306357E-09
0.266698E+01 0.891065E-10
0.301251E+01 0.404229E-10
0.337068E+01 0.230059E-10
0.373309E+01 0.135973E-10
0.409127E+01 0.809313E-11
0.443679E+01 0.498161E-11
0.476158E+01 0.326627E-11
0.505801E+01 0.233703E-11
0.531914E+01 0.185013E-11
0.553885E+01 0.160810E-11
0.571199E+01 0.149222E-11
0.583450E+01 0.143592E-11
0.590354E+01 0.140979E-11
