0.000819664 1.96861e-06
0.00432254 5.47361e-05
0.0106399 0.00033128
0.0197997 0.00114348
0.0318405 0.00293591
0.0468129 0.00626069
0.0647796 0.0117172
0.085816 0.0198406
0.11001 0.0309386
0.137463 0.0448968
0.168289 0.0610116
0.202616 0.0779455
0.240585 0.0938763
0.282352 0.106845
0.328086 0.115204
0.37797 0.118002
0.432199 0.115158
0.490984 0.107395
0.554544 0.0959902
0.623109 0.0824435
0.696916 0.0681867
0.776207 0.0543953
0.861224 0.0419061
0.952204 0.0312168
1.04937 0.0225201
1.15292 0.0157661
1.26304 0.0107599
1.37983 0.00722545
1.50337 0.00485164
1.63362 0.00334254
1.77047 0.00243974
1.91365 0.00193082
2.06273 0.00165721
2.21711 0.00150796
2.37594 0.00141197
2.53814 0.0013293
2.70232 0.00124129
2.86681 0.00114314
3.02962 0.00103721
3.18846 0.000929351
3.3408 0.00082519
3.48385 0.000729579
3.61475 0.000645929
3.73059 0.000575866
3.82859 0.000519925
3.90624 0.000477939
3.96143 0.000449409
3.99264 0.000433778
4.05829 0.000402068
4.30484 0.000297356
4.73903 0.000163413
5.34528 6.10413e-05
6.10168 1.35112e-05
6.98091 1.54097e-06
7.95118 3.95e-07
8.97743 2.73776e-07
10.0226 1.00156e-07
11.0488 2.27623e-08
12.0191 3.89435e-09
12.8983 6.69669e-10
13.6547 1.92821e-10
14.261 1.14974e-10
14.6952 6.12308e-11
14.9417 3.85968e-11
